0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,seed,complex_param
0.0,20.0,13,,15,14,12,11,19,7.0,0,15.0,7,4,14.0,3,10,,27.0,9,6,14.0,0.0,1.0,1.0,17.0,0.0,1,20.0,14.0,9,11.0,12.0,,16,7,,,13,0,0,15,18.0,12,0,13,16,8,7,19.0,1,,23.0,22.0,12,0.0,4.0,28.0,16,15,,14,13,16,27.0,10,,0,15,2.0,26.0,11.0,0.0,,23.0,,8,11,16,15,,27.0,11,6.0,13.0,24.0,27.0,15,17.0,,,,42,12
23.0,,0,,16,1,15,7,16,0.0,8,0.0,16,14,1.0,0,15,,12.0,10,6,13.0,18.0,9.0,12.0,4.0,,5,16.0,4.0,17,4.0,12.0,17.0,5,15,,18.0,15,16,13,15,17.0,14,12,0,12,11,7,17.0,16,23.0,18.0,,16,18.0,2.0,17.0,16,16,32.0,14,0,0,,6,,15,13,,17.0,,17.0,0.0,,15.0,17,14,0,9,,18.0,11,0.0,9.0,13.0,6.0,16,12.0,35.0,,,43,12
21.0,,4,,18,18,15,0,2,14.0,17,19.0,18,4,2.0,6,16,,19.0,4,10,8.0,16.0,18.0,0.0,16.0,11.0,9,18.0,19.0,20,17.0,23.0,0.0,19,7,,,16,18,17,3,20.0,10,11,17,18,12,17,4.0,17,,17.0,0.0,18,19.0,16.0,6.0,14,15,,16,0,6,0.0,8,11.0,13,15,,21.0,,0.0,,,19.0,18,18,0,6,10.0,22.0,10,,9.0,0.0,21.0,17,8.0,,,0.0,44,12
0.0,0.0,0,,4,5,15,19,27,26.0,25,27.0,16,18,24.0,17,16,10.0,8.0,3,17,11.0,26.0,23.0,16.0,27.0,10.0,24,,0.0,19,18.0,,1.0,11,18,16.0,,0,4,17,18,26.0,11,4,18,1,18,17,,19,0.0,23.0,,19,19.0,23.0,17.0,20,19,,19,0,16,,7,,18,1,0.0,20.0,0.0,9.0,,,20.0,6,19,19,17,5.0,18.0,18,5.0,27.0,,23.0,4,,,15.0,0.0,45,12
,11.0,14,8.0,15,6,6,17,16,9.0,0,0.0,16,0,16.0,11,15,21.0,1.0,12,0,2.0,18.0,,10.0,21.0,,10,17.0,0.0,17,1.0,9.0,19.0,16,3,,0.0,15,16,14,13,18.0,15,13,16,18,17,15,12.0,17,,6.0,,18,19.0,,13.0,17,9,,5,12,2,6.0,10,,0,0,,18.0,8.0,20.0,17.0,,,13,18,9,5,9.0,19.0,13,0.0,18.0,18.0,19.0,0,,15.0,3.0,,46,12
,28.0,2,,11,8,8,11,12,3.0,8,17.0,7,4,0.0,5,5,11.0,4.0,7,7,13.0,3.0,,,18.0,,10,13.0,1.0,3,2.0,0.0,1.0,4,9,,9.0,0,9,0,11,31.0,8,0,9,0,1,6,18.0,4,,32.0,23.0,12,17.0,,,12,14,32.0,6,8,12,,3,23.0,10,0,16.0,0.0,25.0,10.0,5.0,30.0,13.0,10,0,10,9,,0.0,6,,16.0,31.0,30.0,11,21.0,8.0,11.0,32.0,47,12
,,11,,21,0,12,11,0,19.0,21,0.0,22,20,23.0,19,18,0.0,,13,5,7.0,28.0,,25.0,26.0,,21,19.0,23.0,5,27.0,,15.0,20,21,16.0,,19,20,13,0,13.0,0,1,19,24,23,12,22.0,23,12.0,22.0,,10,0.0,24.0,0.0,9,24,2.0,24,21,24,29.0,13,16.0,22,22,0.0,24.0,,29.0,15.0,,9.0,15,18,23,22,,24.0,14,,25.0,9.0,25.0,23,27.0,0.0,,31.0,48,12
7.0,0.0,7,,17,13,11,17,16,18.0,16,12.0,11,16,16.0,8,14,,,8,4,19.0,0.0,1.0,2.0,0.0,12.0,2,16.0,19.0,19,15.0,13.0,,5,13,7.0,21.0,14,19,15,8,1.0,15,15,16,20,18,13,6.0,0,,18.0,,18,18.0,15.0,0.0,19,15,2.0,13,10,20,,0,0.0,12,17,,3.0,,17.0,0.0,,10.0,0,17,18,13,12.0,20.0,14,8.0,11.0,3.0,0.0,11,,,,,49,12
12.0,,16,26.0,4,14,14,14,20,1.0,19,23.0,17,1,10.0,12,0,0.0,0.0,12,13,0.0,22.0,5.0,5.0,9.0,,17,21.0,18.0,18,4.0,,,19,16,,,16,15,0,13,21.0,15,15,9,18,10,6,21.0,14,,14.0,21.0,15,17.0,,0.0,0,7,22.0,5,11,19,15.0,6,18.0,13,17,,18.0,,0.0,,9.0,0.0,13,17,5,17,8.0,16.0,0,10.0,12.0,7.0,5.0,18,17.0,,,,50,12
,9.0,0,,0,13,1,15,5,20.0,15,13.0,12,13,20.0,4,14,,,0,9,17.0,17.0,,16.0,18.0,16.0,13,14.0,17.0,16,17.0,,,15,8,6.0,4.0,2,17,13,17,28.0,13,0,15,10,18,14,16.0,18,,27.0,26.0,16,3.0,19.0,9.0,15,19,,18,13,7,0.0,0,21.0,17,13,11.0,0.0,0.0,7.0,,,6.0,17,14,12,1,,0.0,12,13.0,21.0,28.0,0.0,14,4.0,,5.0,,51,12
,,0,13.0,7,11,11,2,0,12.0,3,3.0,12,10,13.0,11,11,,10.0,0,1,14.0,10.0,,0.0,14.0,13.0,9,10.0,0.0,3,12.0,,13.0,8,10,22.0,,9,12,10,13,3.0,3,8,12,14,14,0,11.0,13,4.0,5.0,,11,0.0,20.0,11.0,12,3,7.0,12,1,14,,8,0.0,10,4,9.0,14.0,,7.0,0.0,0.0,7.0,10,13,13,12,,15.0,9,7.0,6.0,11.0,7.0,12,,,,,52,12
