,Unnamed: 0,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,betha,seed,EPH,corr
20,20,1,2,1,2.0,1,1,2,2,2,0,1,1,1,1,1,0,1,1,1,1,0,1,0,2,1,1,2,1,0,1,1,1,1,1,0,1,1.0,1,2,1,1,1,1,1,1,1,2,1,1,1,1,2,2,2,2,1,1,1,2,1,2,1,2,2,2.0,1,2.0,1,1,2,1,0,2,1.0,1.0,0,2,2,2,1,2,1,1,2,1,1,1,1,2,2.0,0,2.0,0.6,20,1.06426735218509,-0.25763721294452513
21,21,2,1,1,2.0,0,1,2,1,1,1,2,1,1,1,1,1,1,2,2,1,1,2,1,1,1,2,1,1,1,1,2,1,1,2,1,0,1.0,2,2,1,1,1,1,1,1,1,1,2,0,2,2,1,1,1,1,1,0,2,1,2,0,2,1,0,1.0,1,3.0,1,2,2,1,1,0,0.0,0.0,1,2,1,2,0,2,2,1,1,2,1,1,1,2,2.0,1,1.0,0.5,21,1.0632911392405062,-0.1862501657216602
22,22,2,2,2,2.0,0,1,1,1,0,1,1,2,2,1,0,1,1,1,0,1,1,1,2,1,2,2,2,1,2,1,2,2,2,1,2,2,2.0,2,1,0,1,2,2,1,0,0,1,1,1,1,1,1,1,1,1,1,2,2,1,2,1,1,1,2,0.0,1,2.0,1,1,2,1,2,1,2.0,2.0,2,2,2,2,1,2,2,2,1,0,2,2,2,0,2.0,2,2.0,0.5,22,1.0717488789237668,-0.3015135277861475
23,23,1,2,1,2.0,1,1,1,1,1,2,2,1,1,1,2,1,1,2,2,1,1,1,1,2,2,0,1,1,2,1,1,0,1,2,2,1,2.0,2,1,0,0,1,2,1,2,1,1,1,1,2,2,1,2,2,0,1,2,2,2,2,3,1,1,1,1.0,1,2.0,1,1,1,1,1,1,0.0,2.0,1,0,1,1,1,1,1,1,0,2,2,1,1,2,2.0,0,0.0,0.6,23,1.0444444444444445,-0.35270744158860423
24,24,1,0,1,0.0,0,1,1,2,2,2,2,2,2,1,2,1,1,0,2,1,1,1,2,2,2,2,2,1,1,1,1,2,2,2,0,1,2.0,1,2,1,1,2,2,1,1,2,1,2,1,1,1,1,1,1,2,1,1,2,2,2,2,1,1,1,0.0,1,1.0,1,1,2,1,1,2,2.0,2.0,1,1,2,1,0,2,1,0,1,1,2,1,0,2,1.0,1,2.0,0.6,24,1.035,-0.18105086036720905
25,25,2,2,1,2.0,0,1,1,1,0,1,2,1,2,1,1,0,1,2,1,1,1,1,1,0,1,2,1,1,0,1,1,1,1,1,2,1,2.0,2,1,1,1,1,1,1,0,2,2,1,1,1,0,1,2,1,1,2,2,1,2,1,2,0,0,2,2.0,1,2.0,1,2,2,2,2,1,1.0,2.0,2,1,2,1,2,1,1,1,1,2,2,2,1,1,1.0,0,2.0,0.4,25,1.1011764705882352,-0.3769585675642312
26,26,1,2,1,3.0,1,1,0,1,1,1,2,1,1,2,1,1,1,1,1,1,1,2,1,1,2,1,1,2,2,2,1,2,0,2,1,1,2.0,3,1,1,1,1,2,1,1,2,1,1,0,2,1,1,1,0,1,1,2,1,1,1,1,1,0,1,2.0,0,2.0,1,0,1,1,2,2,2.0,3.0,2,1,0,1,1,2,1,1,0,1,2,1,1,1,3.0,0,1.0,0.5,26,1.1136363636363635,-0.37929778845732676
27,27,2,3,0,1.0,2,2,1,1,2,1,1,1,1,0,1,2,1,2,3,0,1,3,1,1,0,0,1,1,1,2,2,0,1,1,1,1,2.0,0,1,2,1,1,1,1,2,2,1,2,1,2,2,2,2,2,1,1,0,2,2,1,2,2,1,2,1.0,2,4.0,2,1,1,2,2,0,2.0,4.0,3,1,2,1,2,2,2,1,1,2,1,2,1,1,1.0,1,2.0,0.4,27,1.1489841986455982,-0.2231991766453271
28,28,1,0,1,0.0,1,0,2,1,2,2,1,1,0,1,1,1,1,2,2,1,1,2,0,0,2,1,2,1,2,1,1,1,0,2,1,1,1.0,2,2,1,1,2,2,2,2,1,2,2,1,1,2,0,2,2,2,2,1,2,2,2,3,2,2,1,0.0,1,2.0,1,2,1,2,2,1,2.0,2.0,1,1,2,1,1,2,1,2,1,2,2,1,0,2,3.0,2,2.0,0.5,28,1.0825471698113207,-0.17320082870932152
29,29,1,2,1,1.0,1,2,1,1,1,2,2,2,1,1,1,2,2,1,1,1,0,1,2,2,0,1,2,0,1,1,1,1,1,1,0,1,1.0,2,1,2,0,1,1,1,1,2,2,2,1,1,2,1,1,2,1,2,1,1,2,1,1,1,1,2,2.0,1,2.0,2,2,0,1,1,1,1.0,1.0,0,2,1,2,1,2,1,1,0,2,0,1,1,2,2.0,2,2.0,0.5,29,1.0722610722610724,-0.13905931847094807
